user_id,age,sex,user_lv_cd,browse_num,addcart_num,delcart_num,buy_num,favor_num,click_num,buy_addcart_ratio,buy_browse_ratio,buy_click_ratio,buy_favor_ratio
200061,2,2,3,,,,,,,,,,
200062,2,2,4,,,,,,,,,,
200063,3,0,4,,,,,,,,,,
200064,2,0,4,,,,,,,,,,
200065,2,0,4,,,,,,,,,,
200066,-1,2,2,,,,,,,,,,
200067,3,2,2,,,,,,,,,,
200068,5,0,5,,,,,,,,,,
200069,3,2,5,,,,,,,,,,
200070,2,2,3,,,,,,,,,,
200071,3,0,5,,,,,,,,,,
200072,3,0,5,,,,,,,,,,
200073,-1,2,2,,,,,,,,,,
200074,-1,2,5,,,,,,,,,,
200075,3,0,5,,,,,,,,,,
200076,2,1,3,,,,,,,,,,
200077,2,2,5,,,,,,,,,,
200078,2,1,3,,,,,,,,,,
200079,3,2,2,,,,,,,,,,
200080,-1,2,1,,,,,,,,,,
200081,3,2,3,,,,,,,,,,
200082,2,2,3,,,,,,,,,,
200083,3,0,3,,,,,,,,,,
200084,2,2,2,,,,,,,,,,
200085,3,2,3,,,,,,,,,,
200086,-1,2,3,,,,,,,,,,
200087,1,0,2,,,,,,,,,,
200088,2,2,4,,,,,,,,,,
200089,1,2,3,,,,,,,,,,
200090,3,2,3,,,,,,,,,,
200091,-1,2,4,,,,,,,,,,
200092,2,2,5,,,,,,,,,,
200093,1,2,5,,,,,,,,,,
200094,3,2,2,,,,,,,,,,
200095,3,2,3,,,,,,,,,,
200096,1,2,2,,,,,,,,,,
200097,-1,2,5,,,,,,,,,,
200098,2,2,3,,,,,,,,,,
200099,3,2,4,,,,,,,,,,
200100,3,1,3,,,,,,,,,,
200101,4,2,1,,,,,,,,,,
200102,3,2,3,,,,,,,,,,
200103,3,2,3,,,,,,,,,,
200104,2,0,4,,,,,,,,,,
200105,3,2,3,,,,,,,,,,
200106,2,0,2,,,,,,,,,,
200107,1,0,5,,,,,,,,,,
200108,3,2,3,,,,,,,,,,
200109,2,2,2,,,,,,,,,,
200110,4,2,2,,,,,,,,,,
200111,3,2,2,,,,,,,,,,
200112,3,2,3,,,,,,,,,,
200113,3,2,3,,,,,,,,,,
200114,3,0,3,,,,,,,,,,
200115,3,2,2,,,,,,,,,,
200116,3,2,3,,,,,,,,,,
200117,-1,2,3,,,,,,,,,,
200118,2,1,4,,,,,,,,,,
200119,3,1,2,12.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,
200120,3,2,5,,,,,,,,,,
200121,-1,2,1,,,,,,,,,,
200122,3,2,4,,,,,,,,,,
200123,-1,2,1,,,,,,,,,,
200124,2,2,2,,,,,,,,,,
200125,3,2,3,,,,,,,,,,
200126,4,2,2,,,,,,,,,,
200127,2,2,3,,,,,,,,,,
200128,2,2,3,,,,,,,,,,
200129,3,2,2,,,,,,,,,,
200130,2,0,5,,,,,,,,,,
200131,3,2,3,,,,,,,,,,
200132,2,2,5,,,,,,,,,,
200133,-1,0,1,,,,,,,,,,
200134,3,2,3,,,,,,,,,,
200135,3,2,2,,,,,,,,,,
200136,3,2,2,,,,,,,,,,
200137,3,2,2,,,,,,,,,,
200138,-1,2,3,,,,,,,,,,
200139,3,2,3,,,,,,,,,,
200140,-1,2,1,,,,,,,,,,
200141,2,0,4,,,,,,,,,,
200142,3,2,2,,,,,,,,,,
200143,4,0,5,,,,,,,,,,
200144,2,2,4,,,,,,,,,,
200145,1,2,3,,,,,,,,,,
200146,3,0,3,,,,,,,,,,
200147,2,2,5,,,,,,,,,,
200148,-1,2,2,,,,,,,,,,
200149,-1,2,1,,,,,,,,,,
200150,4,1,5,,,,,,,,,,
200151,3,2,3,,,,,,,,,,
200152,5,0,2,,,,,,,,,,
200153,3,2,4,,,,,,,,,,
200154,2,2,3,,,,,,,,,,
200155,3,2,3,,,,,,,,,,
200156,2,2,5,,,,,,,,,,
200157,3,2,3,,,,,,,,,,
200158,-1,2,2,,,,,,,,,,
200159,3,0,2,,,,,,,,,,
200160,2,0,5,,,,,,,,,,
200161,3,0,2,,,,,,,,,,
200162,3,2,2,,,,,,,,,,
200163,-1,2,1,,,,,,,,,,
200164,3,2,3,,,,,,,,,,
200165,1,1,3,,,,,,,,,,
200166,3,2,2,,,,,,,,,,
200167,-1,2,1,,,,,,,,,,
200168,-1,2,1,,,,,,,,,,
200169,1,2,2,,,,,,,,,,
200170,3,2,2,,,,,,,,,,
200171,3,2,2,,,,,,,,,,
200172,2,2,4,,,,,,,,,,
200173,1,2,4,,,,,,,,,,
200174,3,0,3,,,,,,,,,,
200175,3,0,4,,,,,,,,,,
200176,3,2,2,,,,,,,,,,
200177,2,2,4,,,,,,,,,,
200178,3,2,3,,,,,,,,,,
200179,2,0,4,,,,,,,,,,
200180,2,1,5,,,,,,,,,,
200181,3,2,5,,,,,,,,,,
200182,3,2,2,,,,,,,,,,
200183,1,2,3,,,,,,,,,,
200184,-1,2,1,,,,,,,,,,
200185,-1,2,2,,,,,,,,,,
200186,2,1,4,,,,,,,,,,
200187,3,2,3,,,,,,,,,,
200188,3,2,2,,,,,,,,,,
200189,3,2,2,,,,,,,,,,
200190,3,2,3,,,,,,,,,,
200191,3,2,4,,,,,,,,,,
200192,-1,2,1,,,,,,,,,,
200193,2,2,4,,,,,,,,,,
200194,3,0,3,,,,,,,,,,
200195,2,2,3,,,,,,,,,,
200196,2,2,5,,,,,,,,,,
200197,3,2,3,,,,,,,,,,
200198,-1,2,1,,,,,,,,,,
200199,3,2,2,,,,,,,,,,
200200,2,1,2,,,,,,,,,,
200201,2,2,2,,,,,,,,,,
200202,1,2,3,,,,,,,,,,
200203,-1,2,1,,,,,,,,,,
200204,3,2,2,,,,,,,,,,
200205,3,2,2,,,,,,,,,,
200206,3,2,2,,,,,,,,,,
200207,1,0,4,,,,,,,,,,
200208,3,2,4,,,,,,,,,,
200209,2,2,2,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,
200210,2,2,2,,,,,,,,,,
200211,-1,2,2,,,,,,,,,,
200212,-1,0,1,,,,,,,,,,
200213,1,2,5,,,,,,,,,,
200214,3,2,3,,,,,,,,,,
200215,2,0,5,,,,,,,,,,
200216,-1,0,1,,,,,,,,,,
200217,3,2,3,,,,,,,,,,
200218,2,2,2,,,,,,,,,,
200219,2,0,4,,,,,,,,,,
200220,3,2,4,,,,,,,,,,
200221,-1,2,2,,,,,,,,,,
200222,2,2,4,6.0,0.0,0.0,0.0,1.0,7.0,,0.0,0.0,0.0
200223,2,2,4,,,,,,,,,,
200224,2,2,5,,,,,,,,,,
200225,3,2,4,,,,,,,,,,
200226,-1,2,5,,,,,,,,,,
200227,3,2,2,,,,,,,,,,
200228,2,1,4,,,,,,,,,,
200229,2,0,5,,,,,,,,,,
200230,3,2,4,,,,,,,,,,
200231,3,2,2,,,,,,,,,,
200232,3,2,4,,,,,,,,,,
200233,2,0,3,18.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,
200234,2,0,3,,,,,,,,,,
200235,2,0,5,,,,,,,,,,
200236,-1,2,1,20.0,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,
200237,2,0,4,,,,,,,,,,
200238,3,2,4,,,,,,,,,,
200239,2,2,5,,,,,,,,,,
200240,2,2,4,,,,,,,,,,
200241,-1,2,1,,,,,,,,,,
200242,4,0,5,18.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,
200243,3,2,2,,,,,,,,,,
200244,3,2,2,,,,,,,,,,
200245,-1,0,2,,,,,,,,,,
200246,2,0,3,,,,,,,,,,
200247,2,2,2,,,,,,,,,,
200248,1,0,5,,,,,,,,,,
200249,-1,2,1,,,,,,,,,,
200250,-1,2,1,,,,,,,,,,
200251,3,0,3,,,,,,,,,,
200252,-1,1,5,,,,,,,,,,
200253,2,0,4,,,,,,,,,,
200254,3,2,5,,,,,,,,,,
200255,3,1,4,,,,,,,,,,
200256,2,2,3,,,,,,,,,,
200257,2,1,4,,,,,,,,,,
200258,1,0,4,,,,,,,,,,
200259,-1,2,1,,,,,,,,,,
200260,4,0,5,,,,,,,,,,
200261,1,2,3,,,,,,,,,,
200262,3,1,2,,,,,,,,,,
200263,2,0,5,,,,,,,,,,
200264,1,0,2,,,,,,,,,,
200265,3,2,3,,,,,,,,,,
200266,5,2,5,,,,,,,,,,
200267,2,0,3,,,,,,,,,,
200268,2,1,4,,,,,,,,,,
200269,2,2,4,,,,,,,,,,
200270,-1,2,3,,,,,,,,,,
200271,-1,2,3,,,,,,,,,,
200272,1,1,5,,,,,,,,,,
200273,1,2,3,,,,,,,,,,
200274,3,2,2,,,,,,,,,,
200275,1,2,4,,,,,,,,,,
200276,3,2,2,,,,,,,,,,
200277,1,2,3,,,,,,,,,,
200278,1,2,3,4.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,
200279,1,1,3,,,,,,,,,,
200280,3,0,5,,,,,,,,,,
200281,3,2,2,,,,,,,,,,
200282,-1,2,2,,,,,,,,,,
200283,1,2,4,,,,,,,,,,
200284,-1,2,3,,,,,,,,,,
200285,3,1,3,,,,,,,,,,
200286,2,2,3,,,,,,,,,,
200287,2,2,4,,,,,,,,,,
200288,2,1,3,,,,,,,,,,
200289,3,2,4,,,,,,,,,,
200290,2,0,5,,,,,,,,,,
200291,-1,0,1,,,,,,,,,,
200292,4,2,2,,,,,,,,,,
200293,3,0,3,,,,,,,,,,
200294,-1,2,1,,,,,,,,,,
200295,2,2,5,,,,,,,,,,
200296,3,0,3,,,,,,,,,,
200297,2,2,4,,,,,,,,,,
200298,-1,2,3,,,,,,,,,,
200299,3,0,5,,,,,,,,,,
200300,3,2,3,,,,,,,,,,
200301,3,2,2,,,,,,,,,,
200302,1,0,4,,,,,,,,,,
200303,3,2,3,,,,,,,,,,
200304,-1,2,3,,,,,,,,,,
200305,3,1,2,,,,,,,,,,
200306,2,0,3,,,,,,,,,,
200307,1,2,3,,,,,,,,,,
200308,2,2,3,,,,,,,,,,
200309,3,2,3,,,,,,,,,,
200310,3,2,2,,,,,,,,,,
200311,3,2,2,,,,,,,,,,
200312,3,0,3,,,,,,,,,,
200313,-1,2,3,,,,,,,,,,
200314,3,0,4,,,,,,,,,,
200315,3,2,2,,,,,,,,,,
200316,2,2,4,,,,,,,,,,
200317,3,2,3,,,,,,,,,,
200318,3,2,3,,,,,,,,,,
200319,5,2,4,,,,,,,,,,
200320,3,0,5,,,,,,,,,,
200321,3,2,3,,,,,,,,,,
200322,2,2,2,,,,,,,,,,
200323,2,0,3,,,,,,,,,,
200324,3,2,4,,,,,,,,,,
200325,-1,0,3,,,,,,,,,,
200326,3,1,3,,,,,,,,,,
200327,1,2,3,,,,,,,,,,
200328,2,2,4,,,,,,,,,,
200329,-1,2,1,,,,,,,,,,
200330,3,0,2,,,,,,,,,,
200331,3,1,3,,,,,,,,,,
200332,2,2,3,,,,,,,,,,
200333,3,2,4,,,,,,,,,,
200334,2,2,2,,,,,,,,,,
200335,3,2,2,,,,,,,,,,
200336,3,2,3,,,,,,,,,,
200337,3,2,4,,,,,,,,,,
200338,2,2,2,,,,,,,,,,
200339,2,2,4,,,,,,,,,,
200340,-1,2,1,,,,,,,,,,
200341,-1,2,1,,,,,,,,,,
200342,2,2,3,,,,,,,,,,
200343,2,0,3,,,,,,,,,,
200344,3,2,2,,,,,,,,,,
200345,3,0,5,,,,,,,,,,
200346,-1,2,3,,,,,,,,,,
200347,-1,2,1,,,,,,,,,,
200348,4,2,2,4.0,0.0,1.0,0.0,0.0,17.0,,0.0,0.0,
200349,3,2,4,,,,,,,,,,
200350,2,2,2,,,,,,,,,,
200351,3,2,2,,,,,,,,,,
200352,2,0,5,,,,,,,,,,
200353,1,1,2,,,,,,,,,,
200354,-1,2,1,,,,,,,,,,
200355,2,2,4,,,,,,,,,,
200356,3,2,4,,,,,,,,,,
200357,3,2,3,,,,,,,,,,
200358,-1,2,3,,,,,,,,,,
200359,1,2,2,,,,,,,,,,
200360,2,2,5,,,,,,,,,,
200361,3,2,3,,,,,,,,,,
200362,2,0,5,,,,,,,,,,
200363,2,2,3,,,,,,,,,,
200364,-1,2,1,,,,,,,,,,
200365,-1,2,1,,,,,,,,,,
200366,2,2,3,,,,,,,,,,
200367,3,2,2,,,,,,,,,,
200368,-1,2,1,,,,,,,,,,
200369,3,0,4,,,,,,,,,,
200370,3,2,2,,,,,,,,,,
200371,3,2,4,,,,,,,,,,
200372,2,1,5,,,,,,,,,,
200373,3,0,4,,,,,,,,,,
200374,2,2,4,,,,,,,,,,
200375,-1,2,4,,,,,,,,,,
200376,-1,0,1,,,,,,,,,,
200377,5,2,3,,,,,,,,,,
200378,4,1,2,,,,,,,,,,
200379,1,2,4,,,,,,,,,,
200380,4,0,4,,,,,,,,,,
200381,3,2,3,,,,,,,,,,
200382,3,2,4,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
200383,3,2,4,,,,,,,,,,
200384,2,2,3,,,,,,,,,,
200385,3,0,2,,,,,,,,,,
200386,3,0,2,,,,,,,,,,
200387,3,2,3,,,,,,,,,,
200388,4,2,2,,,,,,,,,,
200389,3,2,4,,,,,,,,,,
200390,2,2,5,,,,,,,,,,
200391,2,2,2,,,,,,,,,,
200392,3,2,3,,,,,,,,,,
200393,-1,2,1,,,,,,,,,,
200394,3,2,4,,,,,,,,,,
200395,2,0,5,,,,,,,,,,
200396,3,2,3,,,,,,,,,,
200397,1,2,4,,,,,,,,,,
200398,3,0,4,,,,,,,,,,
200399,2,1,4,,,,,,,,,,
200400,5,0,2,,,,,,,,,,
200401,3,0,3,,,,,,,,,,
200402,-1,2,2,,,,,,,,,,
200403,2,0,5,,,,,,,,,,
200404,3,2,2,,,,,,,,,,
200405,-1,2,1,,,,,,,,,,
200406,2,0,5,,,,,,,,,,
200407,2,1,5,,,,,,,,,,
200408,3,2,4,,,,,,,,,,
200409,2,2,3,,,,,,,,,,
200410,-1,2,1,,,,,,,,,,
200411,2,2,3,,,,,,,,,,
200412,-1,2,1,,,,,,,,,,
200413,-1,2,1,,,,,,,,,,
200414,3,2,2,,,,,,,,,,
200415,3,0,3,,,,,,,,,,
200416,-1,2,1,,,,,,,,,,
200417,-1,0,5,,,,,,,,,,
200418,3,2,2,,,,,,,,,,
200419,2,2,3,,,,,,,,,,
200420,3,2,2,,,,,,,,,,
200421,2,2,4,,,,,,,,,,
200422,-1,2,5,,,,,,,,,,
200423,2,0,5,,,,,,,,,,
200424,3,2,2,,,,,,,,,,
200425,1,2,4,,,,,,,,,,
200426,3,2,2,,,,,,,,,,
200427,3,2,3,,,,,,,,,,
200428,3,0,2,,,,,,,,,,
200429,2,0,4,,,,,,,,,,
200430,3,2,2,,,,,,,,,,
200431,2,0,5,,,,,,,,,,
200432,3,0,3,,,,,,,,,,
200433,3,2,3,,,,,,,,,,
200434,3,2,3,,,,,,,,,,
200435,3,2,3,,,,,,,,,,
200436,3,2,2,,,,,,,,,,
200437,2,2,3,,,,,,,,,,
200438,2,2,4,,,,,,,,,,
200439,-1,2,1,,,,,,,,,,
200440,-1,2,1,,,,,,,,,,
200441,5,0,3,,,,,,,,,,
200442,-1,2,1,,,,,,,,,,
200443,1,2,4,,,,,,,,,,
200444,3,2,2,,,,,,,,,,
200445,3,2,3,,,,,,,,,,
200446,-1,0,1,,,,,,,,,,
200447,3,0,4,,,,,,,,,,
200448,-1,2,3,,,,,,,,,,
200449,2,0,5,,,,,,,,,,
200450,2,0,2,,,,,,,,,,
200451,3,2,2,,,,,,,,,,
200452,2,0,5,,,,,,,,,,
200453,3,2,4,,,,,,,,,,
200454,2,2,2,,,,,,,,,,
200455,2,0,5,,,,,,,,,,
200456,3,2,4,,,,,,,,,,
200457,3,2,2,,,,,,,,,,
200458,4,2,2,,,,,,,,,,
200459,3,1,2,,,,,,,,,,
200460,2,2,3,,,,,,,,,,
200461,2,2,4,,,,,,,,,,
200462,5,2,2,,,,,,,,,,
200463,2,0,4,,,,,,,,,,
200464,2,2,5,,,,,,,,,,
200465,-1,2,1,,,,,,,,,,
200466,2,2,4,,,,,,,,,,
200467,2,2,4,,,,,,,,,,
200468,3,2,2,,,,,,,,,,
200469,3,1,3,,,,,,,,,,
200470,-1,2,5,,,,,,,,,,
200471,2,0,5,58.0,2.0,0.0,1.0,0.0,99.0,0.5,0.017241379310344827,0.010101010101010102,1.0
200472,2,0,3,,,,,,,,,,
200473,-1,2,1,,,,,,,,,,
200474,2,2,4,,,,,,,,,,
200475,-1,0,5,10.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,
200476,4,2,4,,,,,,,,,,
200477,2,2,2,,,,,,,,,,
200478,-1,2,3,,,,,,,,,,
200479,1,2,2,,,,,,,,,,
200480,2,0,5,,,,,,,,,,
200481,3,2,3,,,,,,,,,,
200482,2,2,4,,,,,,,,,,
200483,2,2,4,,,,,,,,,,
200484,2,0,4,,,,,,,,,,
200485,3,2,3,,,,,,,,,,
200486,3,0,4,,,,,,,,,,
200487,3,2,2,,,,,,,,,,
200488,-1,2,5,,,,,,,,,,
200489,3,2,2,,,,,,,,,,
200490,3,2,3,,,,,,,,,,
200491,2,2,3,,,,,,,,,,
200492,3,0,4,,,,,,,,,,
200493,2,0,5,,,,,,,,,,
200494,-1,2,1,,,,,,,,,,
200495,4,0,5,,,,,,,,,,
200496,3,0,5,,,,,,,,,,
200497,2,2,5,,,,,,,,,,
200498,2,1,2,,,,,,,,,,
200499,2,2,2,,,,,,,,,,
200500,3,2,3,,,,,,,,,,
200501,2,0,4,,,,,,,,,,
200502,1,2,5,,,,,,,,,,
200503,2,0,4,,,,,,,,,,
200504,4,2,2,,,,,,,,,,
200505,-1,2,1,,,,,,,,,,
200506,-1,2,1,,,,,,,,,,
200507,3,2,2,,,,,,,,,,
200508,3,2,2,,,,,,,,,,
200509,3,2,2,,,,,,,,,,
200510,-1,2,4,,,,,,,,,,
200511,3,2,2,,,,,,,,,,
200512,2,2,3,,,,,,,,,,
200513,-1,2,1,,,,,,,,,,
200514,2,2,3,,,,,,,,,,
200515,3,2,4,,,,,,,,,,
200516,2,2,3,,,,,,,,,,
200517,3,2,3,,,,,,,,,,
200518,-1,2,2,,,,,,,,,,
200519,2,2,5,,,,,,,,,,
200520,3,2,2,,,,,,,,,,
200521,-1,2,2,,,,,,,,,,
200522,3,2,2,,,,,,,,,,
200523,2,2,4,,,,,,,,,,
200524,3,2,2,,,,,,,,,,
200525,4,2,3,,,,,,,,,,
200526,2,2,3,,,,,,,,,,
200527,3,2,3,,,,,,,,,,
200528,2,1,5,,,,,,,,,,
200529,-1,2,1,,,,,,,,,,
200530,3,0,5,,,,,,,,,,
200531,2,0,5,,,,,,,,,,
200532,3,2,4,,,,,,,,,,
200533,3,2,3,,,,,,,,,,
200534,-1,2,2,,,,,,,,,,
200535,3,2,3,36.0,4.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,
200536,3,2,3,,,,,,,,,,
200537,3,2,2,,,,,,,,,,
200538,3,2,3,,,,,,,,,,
200539,2,0,3,,,,,,,,,,
200540,-1,2,1,,,,,,,,,,
200541,2,2,2,,,,,,,,,,
200542,4,2,2,,,,,,,,,,
200543,4,2,5,,,,,,,,,,
200544,1,1,4,,,,,,,,,,
200545,2,2,4,,,,,,,,,,
200546,2,2,2,,,,,,,,,,
200547,4,2,2,,,,,,,,,,
200548,-1,2,3,,,,,,,,,,
200549,3,2,3,,,,,,,,,,
200550,2,2,3,,,,,,,,,,
200551,2,0,5,,,,,,,,,,
200552,-1,2,1,,,,,,,,,,
200553,2,2,4,,,,,,,,,,
200554,3,2,3,,,,,,,,,,
200555,2,2,4,,,,,,,,,,
200556,3,2,4,,,,,,,,,,
200557,2,0,5,,,,,,,,,,
200558,3,2,2,,,,,,,,,,
200559,2,0,5,,,,,,,,,,
200560,-1,2,2,,,,,,,,,,
200561,2,0,5,,,,,,,,,,
200562,3,2,3,,,,,,,,,,
200563,3,2,2,,,,,,,,,,
200564,2,0,5,,,,,,,,,,
200565,4,2,3,,,,,,,,,,
200566,2,2,3,,,,,,,,,,
200567,2,1,4,,,,,,,,,,
200568,2,2,4,,,,,,,,,,
200569,3,2,2,,,,,,,,,,
200570,2,0,3,,,,,,,,,,
200571,3,2,3,,,,,,,,,,
200572,3,2,3,,,,,,,,,,
200573,-1,2,2,,,,,,,,,,
200574,2,0,5,,,,,,,,,,
200575,2,0,5,,,,,,,,,,
200576,2,0,5,,,,,,,,,,
200577,1,2,3,,,,,,,,,,
200578,3,1,3,2.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,
200579,-1,2,2,,,,,,,,,,
200580,3,1,2,,,,,,,,,,
200581,3,2,2,,,,,,,,,,
200582,3,2,2,,,,,,,,,,
200583,3,2,3,,,,,,,,,,
200584,3,0,3,,,,,,,,,,
200585,2,0,5,,,,,,,,,,
200586,3,0,5,,,,,,,,,,
200587,3,2,4,,,,,,,,,,
200588,3,2,4,,,,,,,,,,
200589,2,1,4,,,,,,,,,,
200590,3,2,4,,,,,,,,,,
200591,2,0,4,,,,,,,,,,
200592,3,2,4,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,,
200593,3,2,2,,,,,,,,,,
200594,4,2,2,,,,,,,,,,
200595,1,1,3,,,,,,,,,,
200596,3,2,3,6.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,
200597,1,2,3,,,,,,,,,,
200598,2,0,2,,,,,,,,,,
200599,-1,2,4,,,,,,,,,,
200600,3,2,5,,,,,,,,,,
200601,3,2,2,,,,,,,,,,
200602,-1,2,1,,,,,,,,,,
200603,3,0,3,,,,,,,,,,
200604,-1,2,2,,,,,,,,,,
200605,-1,2,1,,,,,,,,,,
200606,3,2,2,,,,,,,,,,
200607,2,2,5,,,,,,,,,,
200608,-1,2,5,,,,,,,,,,
200609,3,2,2,,,,,,,,,,
200610,2,2,4,,,,,,,,,,
200611,2,0,5,,,,,,,,,,
200612,2,2,2,,,,,,,,,,
200613,3,2,3,,,,,,,,,,
200614,1,1,5,,,,,,,,,,
200615,3,2,2,,,,,,,,,,
200616,2,2,4,,,,,,,,,,
200617,4,0,4,,,,,,,,,,
200618,2,0,4,8.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,
200619,3,2,3,10.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,
200620,4,2,2,,,,,,,,,,
200621,3,2,3,,,,,,,,,,
200622,-1,2,3,,,,,,,,,,
200623,3,2,3,,,,,,,,,,
200624,2,2,3,,,,,,,,,,
200625,-1,2,1,,,,,,,,,,
200626,3,2,5,2.0,0.0,0.0,1.0,0.0,7.0,1.0,0.5,0.14285714285714285,1.0
200627,3,2,3,,,,,,,,,,
200628,1,2,4,,,,,,,,,,
200629,4,2,3,,,,,,,,,,
200630,-1,0,3,,,,,,,,,,
200631,3,2,4,,,,,,,,,,
200632,2,2,4,,,,,,,,,,
200633,2,0,4,,,,,,,,,,
200634,3,2,2,,,,,,,,,,
200635,2,2,5,,,,,,,,,,
200636,3,2,2,,,,,,,,,,
200637,2,2,2,,,,,,,,,,
200638,2,2,4,,,,,,,,,,
200639,1,2,4,,,,,,,,,,
200640,-1,2,1,,,,,,,,,,
200641,3,2,4,,,,,,,,,,
200642,3,2,5,14.0,0.0,0.0,0.0,0.0,15.0,,0.0,0.0,
200643,2,2,3,,,,,,,,,,
200644,2,2,3,,,,,,,,,,
200645,1,2,2,,,,,,,,,,
200646,-1,2,1,,,,,,,,,,
200647,-1,2,1,,,,,,,,,,
200648,-1,2,5,,,,,,,,,,
200649,2,0,4,,,,,,,,,,
200650,3,2,3,,,,,,,,,,
200651,-1,2,1,,,,,,,,,,
200652,3,2,4,,,,,,,,,,
200653,1,2,5,,,,,,,,,,
200654,1,2,2,,,,,,,,,,
200655,-1,2,3,,,,,,,,,,
200656,3,2,3,,,,,,,,,,
200657,3,1,3,,,,,,,,,,
200658,3,2,2,,,,,,,,,,
200659,4,2,3,,,,,,,,,,
200660,2,2,2,,,,,,,,,,
200661,-1,2,3,,,,,,,,,,
200662,1,2,2,,,,,,,,,,
200663,2,1,3,,,,,,,,,,
200664,2,0,4,,,,,,,,,,
200665,4,2,2,,,,,,,,,,
200666,5,2,2,,,,,,,,,,
200667,2,2,2,,,,,,,,,,
200668,1,0,2,,,,,,,,,,
200669,1,2,4,,,,,,,,,,
200670,3,2,2,,,,,,,,,,
200671,4,2,3,,,,,,,,,,
200672,2,0,5,,,,,,,,,,
200673,3,2,3,,,,,,,,,,
200674,4,0,5,,,,,,,,,,
200675,3,2,4,,,,,,,,,,
200676,1,0,5,,,,,,,,,,
200677,1,0,5,,,,,,,,,,
200678,2,2,2,,,,,,,,,,
200679,3,2,2,,,,,,,,,,
200680,2,2,2,,,,,,,,,,
200681,-1,2,2,,,,,,,,,,
200682,2,0,5,,,,,,,,,,
200683,2,0,5,,,,,,,,,,
200684,3,0,5,,,,,,,,,,
200685,2,0,3,,,,,,,,,,
200686,3,2,2,,,,,,,,,,
200687,3,1,4,,,,,,,,,,
200688,1,2,4,,,,,,,,,,
200689,1,1,4,72.0,2.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,
200690,2,2,4,,,,,,,,,,
200691,-1,2,1,,,,,,,,,,
200692,3,2,4,,,,,,,,,,
