user_id,age,sex,user_lv_cd,user_reg_tm
200098,26-35ÀÍ,2,3,2016-01-27
200099,36-45ÀÍ,2,4,2016-01-27
200100,36-45ÀÍ,1,3,2016-01-27
200101,46-55ÀÍ,2,1,2016-01-27
200102,36-45ÀÍ,2,3,2016-01-27
200103,36-45ÀÍ,2,3,2016-01-27
200104,26-35ÀÍ,0,4,2010-08-10
200105,36-45ÀÍ,2,3,2016-01-27
200106,26-35ÀÍ,0,2,2013-04-11
200107,16-25ÀÍ,0,5,2013-04-11
200108,36-45ÀÍ,2,3,2016-01-27
200109,26-35ÀÍ,2,2,2016-01-27
200110,46-55ÀÍ,2,2,2016-01-27
200111,36-45ÀÍ,2,2,2016-01-27
200112,36-45ÀÍ,2,3,2013-04-11
200113,36-45ÀÍ,2,3,2016-01-27
200114,36-45ÀÍ,0,3,2016-01-27
200115,36-45ÀÍ,2,2,2016-01-27
200116,36-45ÀÍ,2,3,2013-04-11
200117,-1,2,3,2016-01-27
200118,26-35ÀÍ,1,4,2016-01-27
200119,36-45ÀÍ,1,2,2016-01-27
200120,36-45ÀÍ,2,5,2013-04-11
200121,-1,2,1,2016-01-27
200122,36-45ÀÍ,2,4,2016-01-27
200123,-1,2,1,2016-01-27
200124,26-35ÀÍ,2,2,2016-01-27
200125,36-45ÀÍ,2,3,2016-01-27
200126,46-55ÀÍ,2,2,2016-01-27
200127,26-35ÀÍ,2,3,2016-01-27
200128,26-35ÀÍ,2,3,2016-01-27
200129,36-45ÀÍ,2,2,2016-01-27
200130,26-35ÀÍ,0,5,2016-01-27
200131,36-45ÀÍ,2,3,2016-01-27
200132,26-35ÀÍ,2,5,2013-04-11
200133,-1,0,1,2016-01-27
200134,36-45ÀÍ,2,3,2016-01-27
200135,36-45ÀÍ,2,2,2016-01-27
200136,36-45ÀÍ,2,2,2016-01-27
200137,36-45ÀÍ,2,2,2016-01-27
200138,-1,2,3,2016-01-27
200139,36-45ÀÍ,2,3,2016-01-27
200140,-1,2,1,2016-01-27
200141,26-35ÀÍ,0,4,2010-08-10
200142,36-45ÀÍ,2,2,2016-01-27
200143,46-55ÀÍ,0,5,2010-08-10
200144,26-35ÀÍ,2,4,2013-04-11
200145,16-25ÀÍ,2,3,2016-01-27
200146,36-45ÀÍ,0,3,2016-01-27
200147,26-35ÀÍ,2,5,2013-04-11
200148,-1,2,2,2016-01-27
200149,-1,2,1,2016-01-27
200150,46-55ÀÍ,1,5,2013-04-11
200151,36-45ÀÍ,2,3,2016-01-27
200152,56ÀÍ“‘…œ,0,2,2016-01-27
200153,36-45ÀÍ,2,4,2013-04-11
200154,26-35ÀÍ,2,3,2016-01-27
200155,36-45ÀÍ,2,3,2016-01-27
200156,26-35ÀÍ,2,5,2013-04-11
200157,36-45ÀÍ,2,3,2016-01-27
200158,-1,2,2,2016-01-27
200159,36-45ÀÍ,0,2,2016-01-27
200160,26-35ÀÍ,0,5,2010-08-10
200161,36-45ÀÍ,0,2,2016-01-27
200162,36-45ÀÍ,2,2,2016-01-27
200163,-1,2,1,2016-01-27
200164,36-45ÀÍ,2,3,2016-01-27
200165,16-25ÀÍ,1,3,2016-01-27
200166,36-45ÀÍ,2,2,2016-01-27
200167,-1,2,1,2016-01-27
200168,-1,2,1,2016-01-27
200169,16-25ÀÍ,2,2,2016-01-27
200170,36-45ÀÍ,2,2,2016-01-27
200171,36-45ÀÍ,2,2,2016-01-27
200172,26-35ÀÍ,2,4,2016-01-27
200173,16-25ÀÍ,2,4,2016-01-27
200174,36-45ÀÍ,0,3,2016-01-27
200175,36-45ÀÍ,0,4,2016-01-27
200176,36-45ÀÍ,2,2,2016-01-27
200177,26-35ÀÍ,2,4,2016-01-27
200178,36-45ÀÍ,2,3,2016-01-27
200179,26-35ÀÍ,0,4,2016-01-27
200180,26-35ÀÍ,1,5,2013-04-11
200181,36-45ÀÍ,2,5,2013-04-11
200182,36-45ÀÍ,2,2,2016-01-27
200183,16-25ÀÍ,2,3,2016-01-27
200184,-1,2,1,2016-01-27
200185,-1,2,2,2016-01-27
200186,26-35ÀÍ,1,4,2013-04-11
200187,36-45ÀÍ,2,3,2016-01-27
200188,36-45ÀÍ,2,2,2016-01-27
200189,36-45ÀÍ,2,2,2016-01-27
200190,36-45ÀÍ,2,3,2016-01-27
200191,36-45ÀÍ,2,4,2016-01-27
200192,-1,2,1,2016-01-27
200193,26-35ÀÍ,2,4,2013-04-11
200194,36-45ÀÍ,0,3,2016-01-27
200195,26-35ÀÍ,2,3,2016-01-27
200196,26-35ÀÍ,2,5,2013-04-11
200197,36-45ÀÍ,2,3,2016-01-27
200198,-1,2,1,2016-01-27
200199,36-45ÀÍ,2,2,2016-01-27
200200,26-35ÀÍ,1,2,2016-01-27
200201,26-35ÀÍ,2,2,2016-01-27
200202,16-25ÀÍ,2,3,2016-01-27
200203,-1,2,1,2016-01-27
200204,36-45ÀÍ,2,2,2016-01-27
200205,36-45ÀÍ,2,2,2016-01-27
200206,36-45ÀÍ,2,2,2016-01-27
200207,16-25ÀÍ,0,4,2016-01-27
200208,36-45ÀÍ,2,4,2013-04-11
200209,26-35ÀÍ,2,2,2016-01-27
200210,26-35ÀÍ,2,2,2016-01-27
200211,-1,2,2,2016-01-27
200212,-1,0,1,2013-04-11
200213,16-25ÀÍ,2,5,2016-01-27
200214,36-45ÀÍ,2,3,2016-01-27
200215,26-35ÀÍ,0,5,2010-08-10
200216,-1,0,1,2016-01-27
200217,36-45ÀÍ,2,3,2016-01-27
200218,26-35ÀÍ,2,2,2013-04-11
200219,26-35ÀÍ,0,4,2016-01-27
200220,36-45ÀÍ,2,4,2016-01-27
200221,-1,2,2,2016-01-27
200222,26-35ÀÍ,2,4,2013-04-11
200223,26-35ÀÍ,2,4,2016-01-27
200224,26-35ÀÍ,2,5,2013-04-11
200225,36-45ÀÍ,2,4,2013-04-11
200226,-1,2,5,2016-01-27
200227,36-45ÀÍ,2,2,2016-01-27
200228,26-35ÀÍ,1,4,2013-04-11
200229,26-35ÀÍ,0,5,2010-08-11
200230,36-45ÀÍ,2,4,2016-01-27
200231,36-45ÀÍ,2,2,2016-01-27
200232,36-45ÀÍ,2,4,2016-01-27
200233,26-35ÀÍ,0,3,2016-01-27
200234,26-35ÀÍ,0,3,2016-01-27
200235,26-35ÀÍ,0,5,2013-04-11
200236,-1,2,1,2016-01-27
200237,26-35ÀÍ,0,4,2010-08-11
200238,36-45ÀÍ,2,4,2016-01-28
200239,26-35ÀÍ,2,5,2016-01-27
200240,26-35ÀÍ,2,4,2016-01-28
200241,-1,2,1,2016-01-28
200242,46-55ÀÍ,0,5,2016-01-28
200243,36-45ÀÍ,2,2,2016-01-28
200244,36-45ÀÍ,2,2,2016-01-28
200245,-1,0,2,2010-08-11
200246,26-35ÀÍ,0,3,2016-01-28
200247,26-35ÀÍ,2,2,2016-01-28
200248,16-25ÀÍ,0,5,2013-04-11
200249,-1,2,1,2016-01-28
200250,-1,2,1,2016-01-28
200251,36-45ÀÍ,0,3,2016-01-28
200252,-1,1,5,2016-01-28
200253,26-35ÀÍ,0,4,2013-04-11
200254,36-45ÀÍ,2,5,2013-04-11
200255,36-45ÀÍ,1,4,2016-01-28
200256,26-35ÀÍ,2,3,2016-01-28
200257,26-35ÀÍ,1,4,2013-04-11
200258,16-25ÀÍ,0,4,2016-01-28
200259,-1,2,1,2016-01-28
200260,46-55ÀÍ,0,5,2016-01-28
200261,16-25ÀÍ,2,3,2013-04-11
200262,36-45ÀÍ,1,2,2013-04-11
200263,26-35ÀÍ,0,5,2010-08-11
200264,16-25ÀÍ,0,2,2016-01-28
200265,36-45ÀÍ,2,3,2016-01-28
200266,56ÀÍ“‘…œ,2,5,2016-01-28
200267,26-35ÀÍ,0,3,2016-01-28
200268,26-35ÀÍ,1,4,2016-01-28
200269,26-35ÀÍ,2,4,2013-04-11
200270,-1,2,3,2016-01-28
200271,-1,2,3,2016-01-28
200272,16-25ÀÍ,1,5,2013-04-11
200273,16-25ÀÍ,2,3,2016-01-29
200274,36-45ÀÍ,2,2,2016-01-28
200275,16-25ÀÍ,2,4,2016-01-28
200276,36-45ÀÍ,2,2,2016-01-28
200277,16-25ÀÍ,2,3,2016-01-28
200278,16-25ÀÍ,2,3,2013-04-11
200279,16-25ÀÍ,1,3,2016-01-28
200280,36-45ÀÍ,0,5,2008-11-02
200281,36-45ÀÍ,2,2,2016-01-28
200282,-1,2,2,2016-01-28
200283,16-25ÀÍ,2,4,2016-01-28
200284,-1,2,3,2016-01-28
200285,36-45ÀÍ,1,3,2016-01-28
200286,26-35ÀÍ,2,3,2016-01-28
200287,26-35ÀÍ,2,4,2013-04-11
200288,26-35ÀÍ,1,3,2016-01-29
200289,36-45ÀÍ,2,4,2016-01-28
200290,26-35ÀÍ,0,5,2013-04-11
200291,-1,0,1,2016-01-28
200292,46-55ÀÍ,2,2,2016-01-28
200293,36-45ÀÍ,0,3,2013-04-11
200294,-1,2,1,2016-01-28
200295,26-35ÀÍ,2,5,2013-04-11
200296,36-45ÀÍ,0,3,2016-01-28
200297,26-35ÀÍ,2,4,2016-01-28
200298,-1,2,3,2016-01-28
200299,36-45ÀÍ,0,5,2013-04-11
200300,36-45ÀÍ,2,3,2016-01-28
200301,36-45ÀÍ,2,2,2016-01-28
200302,16-25ÀÍ,0,4,2013-04-11
200303,36-45ÀÍ,2,3,2013-04-11
200304,-1,2,3,2016-01-28
200305,36-45ÀÍ,1,2,2016-01-28
200306,26-35ÀÍ,0,3,2016-01-28
200307,16-25ÀÍ,2,3,2016-01-28
200308,26-35ÀÍ,2,3,2016-01-28
200309,36-45ÀÍ,2,3,2016-01-28
200310,36-45ÀÍ,2,2,2016-01-28
200311,36-45ÀÍ,2,2,2016-01-28
200312,36-45ÀÍ,0,3,2016-01-28
200313,-1,2,3,2016-01-28
200314,36-45ÀÍ,0,4,2016-01-28
200315,36-45ÀÍ,2,2,2016-01-28
200316,26-35ÀÍ,2,4,2016-01-28
200317,36-45ÀÍ,2,3,2016-01-28
200318,36-45ÀÍ,2,3,2016-01-28
200319,56ÀÍ“‘…œ,2,4,2016-01-28
200320,36-45ÀÍ,0,5,2016-01-28
200321,36-45ÀÍ,2,3,2016-01-28
200322,26-35ÀÍ,2,2,2016-01-28
200323,26-35ÀÍ,0,3,2016-01-28
200324,36-45ÀÍ,2,4,2013-04-12
200325,-1,0,3,2016-01-28
200326,36-45ÀÍ,1,3,2010-08-11
200327,16-25ÀÍ,2,3,2016-01-28
200328,26-35ÀÍ,2,4,2013-04-12
200329,-1,2,1,2016-01-28
200330,36-45ÀÍ,0,2,2016-01-28
200331,36-45ÀÍ,1,3,2016-01-28
200332,26-35ÀÍ,2,3,2016-01-28
200333,36-45ÀÍ,2,4,2016-01-28
200334,26-35ÀÍ,2,2,2016-01-28
200335,36-45ÀÍ,2,2,2016-01-28
200336,36-45ÀÍ,2,3,2016-01-28
200337,36-45ÀÍ,2,4,2016-01-28
200338,26-35ÀÍ,2,2,2016-01-28
200339,26-35ÀÍ,2,4,2016-01-28
200340,-1,2,1,2016-01-28
200341,-1,2,1,2016-01-28
200342,26-35ÀÍ,2,3,2016-01-28
200343,26-35ÀÍ,0,3,2016-01-28
200344,36-45ÀÍ,2,2,2016-01-28
200345,36-45ÀÍ,0,5,2013-04-12
200346,-1,2,3,2016-01-28
200347,-1,2,1,2016-01-28
200348,46-55ÀÍ,2,2,2016-01-28
200349,36-45ÀÍ,2,4,2013-04-12
200350,26-35ÀÍ,2,2,2016-01-28
200351,36-45ÀÍ,2,2,2016-01-29
200352,26-35ÀÍ,0,5,2013-04-12
200353,16-25ÀÍ,1,2,2016-01-29
200354,-1,2,1,2016-01-29
200355,26-35ÀÍ,2,4,2013-04-12
200356,36-45ÀÍ,2,4,2016-01-29
200357,36-45ÀÍ,2,3,2016-01-29
200358,-1,2,3,2016-01-29
200359,16-25ÀÍ,2,2,2016-01-29
200360,26-35ÀÍ,2,5,2016-01-29
200361,36-45ÀÍ,2,3,2016-01-29
200362,26-35ÀÍ,0,5,2007-01-25
200363,26-35ÀÍ,2,3,2016-01-29
200364,-1,2,1,2016-01-29
200365,-1,2,1,2016-01-29
200366,26-35ÀÍ,2,3,2016-01-29
200367,36-45ÀÍ,2,2,2016-01-29
200368,-1,2,1,2016-01-29
200369,36-45ÀÍ,0,4,2010-08-11
200370,36-45ÀÍ,2,2,2016-01-29
200371,36-45ÀÍ,2,4,2013-04-12
200372,26-35ÀÍ,1,5,2013-04-12
200373,36-45ÀÍ,0,4,2016-01-29
200374,26-35ÀÍ,2,4,2013-04-12
200375,-1,2,4,2013-04-12
200376,-1,0,1,2010-08-11
200377,56ÀÍ“‘…œ,2,3,2016-01-29
200378,46-55ÀÍ,1,2,2016-01-29
200379,16-25ÀÍ,2,4,2016-01-29
200380,46-55ÀÍ,0,4,2010-08-11
200381,36-45ÀÍ,2,3,2016-01-29
200382,36-45ÀÍ,2,4,2016-01-29
200383,36-45ÀÍ,2,4,2016-01-29
200384,26-35ÀÍ,2,3,2016-01-29
200385,36-45ÀÍ,0,2,2016-01-29
200386,36-45ÀÍ,0,2,2016-01-29
200387,36-45ÀÍ,2,3,2016-01-29
200388,46-55ÀÍ,2,2,2016-01-29
200389,36-45ÀÍ,2,4,2016-01-29
200390,26-35ÀÍ,2,5,2013-04-12
200391,26-35ÀÍ,2,2,2016-01-29
200392,36-45ÀÍ,2,3,2016-01-29
200393,-1,2,1,2016-01-29
200394,36-45ÀÍ,2,4,2016-01-29
200395,26-35ÀÍ,0,5,2010-08-11
200396,36-45ÀÍ,2,3,2013-04-12
200397,16-25ÀÍ,2,4,2016-01-29
200398,36-45ÀÍ,0,4,2016-01-29
200399,26-35ÀÍ,1,4,2016-01-29
200400,56ÀÍ“‘…œ,0,2,2016-01-29
200401,36-45ÀÍ,0,3,2016-01-29
200402,-1,2,2,2016-01-29
200403,26-35ÀÍ,0,5,2013-04-12
200404,36-45ÀÍ,2,2,2016-01-29
200405,-1,2,1,2016-01-29
200406,26-35ÀÍ,0,5,2013-04-12
200407,26-35ÀÍ,1,5,2010-08-11
200408,36-45ÀÍ,2,4,2016-01-29
200409,26-35ÀÍ,2,3,2016-01-29
200410,-1,2,1,2016-01-29
200411,26-35ÀÍ,2,3,2016-01-29
200412,-1,2,1,2016-01-29
200413,-1,2,1,2016-01-29
200414,36-45ÀÍ,2,2,2016-01-29
200415,36-45ÀÍ,0,3,2016-01-29
200416,-1,2,1,2016-01-29
200417,-1,0,5,2010-08-11
200418,36-45ÀÍ,2,2,2016-01-29
200419,26-35ÀÍ,2,3,2016-01-29
200420,36-45ÀÍ,2,2,2016-01-29
200421,26-35ÀÍ,2,4,2016-01-29
200422,-1,2,5,2016-01-29
200423,26-35ÀÍ,0,5,2013-04-12
200424,36-45ÀÍ,2,2,2016-01-29
200425,16-25ÀÍ,2,4,2016-01-29
200426,36-45ÀÍ,2,2,2016-01-29
200427,36-45ÀÍ,2,3,2016-01-29
200428,36-45ÀÍ,0,2,2016-01-29
200429,26-35ÀÍ,0,4,2016-01-29
200430,36-45ÀÍ,2,2,2016-01-29
200431,26-35ÀÍ,0,5,2010-08-11
200432,36-45ÀÍ,0,3,2016-01-29
200433,36-45ÀÍ,2,3,2013-04-12
200434,36-45ÀÍ,2,3,2016-01-29
200435,36-45ÀÍ,2,3,2016-01-29
200436,36-45ÀÍ,2,2,2016-01-29
200437,26-35ÀÍ,2,3,2016-01-29
200438,26-35ÀÍ,2,4,2016-01-29
200439,-1,2,1,2016-01-29
200440,-1,2,1,2016-01-29
200441,56ÀÍ“‘…œ,0,3,2016-01-29
200442,-1,2,1,2016-01-29
200443,16-25ÀÍ,2,4,2016-01-29
200444,36-45ÀÍ,2,2,2016-01-29
200445,36-45ÀÍ,2,3,2016-01-29
200446,-1,0,1,2016-01-29
200447,36-45ÀÍ,0,4,2008-11-03
200448,-1,2,3,2016-01-29
200449,26-35ÀÍ,0,5,2010-08-11
200450,26-35ÀÍ,0,2,2016-01-30
200451,36-45ÀÍ,2,2,2016-01-30
200452,26-35ÀÍ,0,5,2010-08-11
200453,36-45ÀÍ,2,4,2013-04-12
200454,26-35ÀÍ,2,2,2016-01-30
200455,26-35ÀÍ,0,5,2013-04-12
200456,36-45ÀÍ,2,4,2016-01-30
200457,36-45ÀÍ,2,2,2016-01-30
200458,46-55ÀÍ,2,2,2016-01-30
200459,36-45ÀÍ,1,2,2013-04-12
200460,26-35ÀÍ,2,3,2013-04-12
200461,26-35ÀÍ,2,4,2013-04-12
200462,56ÀÍ“‘…œ,2,2,2016-01-30
200463,26-35ÀÍ,0,4,2016-01-30
200464,26-35ÀÍ,2,5,2013-04-12
200465,-1,2,1,2016-01-30
200466,26-35ÀÍ,2,4,2016-01-30
200467,26-35ÀÍ,2,4,2016-01-30
200468,36-45ÀÍ,2,2,2016-01-30
200469,36-45ÀÍ,1,3,2016-01-30
200470,-1,2,5,2016-01-30
200471,26-35ÀÍ,0,5,2010-08-11
200472,26-35ÀÍ,0,3,2016-01-30
200473,-1,2,1,2016-01-30
200474,26-35ÀÍ,2,4,2013-04-12
200475,-1,0,5,2010-08-11
200476,46-55ÀÍ,2,4,2016-01-30
200477,26-35ÀÍ,2,2,2013-04-12
200478,-1,2,3,2016-01-30
200479,16-25ÀÍ,2,2,2016-01-30
200480,26-35ÀÍ,0,5,2013-04-12
200481,36-45ÀÍ,2,3,2016-01-30
200482,26-35ÀÍ,2,4,2013-04-12
200483,26-35ÀÍ,2,4,2013-04-12
200484,26-35ÀÍ,0,4,2016-01-30
200485,36-45ÀÍ,2,3,2016-01-30
200486,36-45ÀÍ,0,4,2010-08-11
200487,36-45ÀÍ,2,2,2016-01-30
200488,-1,2,5,2013-04-12
200489,36-45ÀÍ,2,2,2016-01-30
200490,36-45ÀÍ,2,3,2016-01-30
200491,26-35ÀÍ,2,3,2016-01-30
200492,36-45ÀÍ,0,4,2016-01-30
200493,26-35ÀÍ,0,5,2013-04-13
200494,-1,2,1,2016-01-30
200495,46-55ÀÍ,0,5,2010-08-11
200496,36-45ÀÍ,0,5,2010-08-11
200497,26-35ÀÍ,2,5,2013-04-13
200498,26-35ÀÍ,1,2,2016-01-30
200499,26-35ÀÍ,2,2,2016-01-30
200500,36-45ÀÍ,2,3,2016-01-30
200501,26-35ÀÍ,0,4,2010-08-11
200502,16-25ÀÍ,2,5,2016-01-30
200503,26-35ÀÍ,0,4,2016-01-30
200504,46-55ÀÍ,2,2,2016-01-30
200505,-1,2,1,2016-01-30
200506,-1,2,1,2016-01-30
200507,36-45ÀÍ,2,2,2016-01-30
200508,36-45ÀÍ,2,2,2016-01-30
200509,36-45ÀÍ,2,2,2016-01-30
200510,-1,2,4,2016-01-30
200511,36-45ÀÍ,2,2,2016-01-30
200512,26-35ÀÍ,2,3,2016-01-31
200513,-1,2,1,2016-01-30
200514,26-35ÀÍ,2,3,2016-01-30
200515,36-45ÀÍ,2,4,2016-01-30
200516,26-35ÀÍ,2,3,2016-01-30
200517,36-45ÀÍ,2,3,2016-01-30
200518,-1,2,2,2016-01-30
200519,26-35ÀÍ,2,5,2013-04-13
200520,36-45ÀÍ,2,2,2016-01-30
200521,-1,2,2,2016-01-30
200522,36-45ÀÍ,2,2,2016-01-30
200523,26-35ÀÍ,2,4,2016-01-30
200524,36-45ÀÍ,2,2,2016-01-30
200525,46-55ÀÍ,2,3,2016-01-30
200526,26-35ÀÍ,2,3,2013-04-13
200527,36-45ÀÍ,2,3,2016-01-30
200528,26-35ÀÍ,1,5,2010-08-11
200529,-1,2,1,2016-01-30
200530,36-45ÀÍ,0,5,2008-11-03
200531,26-35ÀÍ,0,5,2013-04-13
200532,36-45ÀÍ,2,4,2013-04-13
200533,36-45ÀÍ,2,3,2016-01-30
200534,-1,2,2,2016-01-30
200535,36-45ÀÍ,2,3,2016-01-30
200536,36-45ÀÍ,2,3,2016-01-30
200537,36-45ÀÍ,2,2,2016-01-30
200538,36-45ÀÍ,2,3,2016-02-01
200539,26-35ÀÍ,0,3,2016-01-30
200540,-1,2,1,2016-01-30
200541,26-35ÀÍ,2,2,2016-01-30
200542,46-55ÀÍ,2,2,2016-01-30
200543,46-55ÀÍ,2,5,2013-04-13
200544,16-25ÀÍ,1,4,2016-01-30
200545,26-35ÀÍ,2,4,2016-01-30
200546,26-35ÀÍ,2,2,2016-01-30
200547,46-55ÀÍ,2,2,2016-01-30
200548,-1,2,3,2016-01-30
200549,36-45ÀÍ,2,3,2016-01-30
200550,26-35ÀÍ,2,3,2016-01-30
200551,26-35ÀÍ,0,5,2013-04-13
200552,-1,2,1,2016-01-30
200553,26-35ÀÍ,2,4,2013-04-13
200554,36-45ÀÍ,2,3,2016-01-30
200555,26-35ÀÍ,2,4,2016-01-30
200556,36-45ÀÍ,2,4,2016-01-30
200557,26-35ÀÍ,0,5,2008-11-03
200558,36-45ÀÍ,2,2,2016-01-30
200559,26-35ÀÍ,0,5,2010-08-11
200560,-1,2,2,2016-01-30
200561,26-35ÀÍ,0,5,2010-08-11
200562,36-45ÀÍ,2,3,2016-01-30
200563,36-45ÀÍ,2,2,2016-01-30
200564,26-35ÀÍ,0,5,2010-08-11
200565,46-55ÀÍ,2,3,2016-02-01
200566,26-35ÀÍ,2,3,2016-01-30
200567,26-35ÀÍ,1,4,2016-01-30
200568,26-35ÀÍ,2,4,2016-01-30
200569,36-45ÀÍ,2,2,2016-02-01
200570,26-35ÀÍ,0,3,2010-08-11
200571,36-45ÀÍ,2,3,2016-01-30
200572,36-45ÀÍ,2,3,2016-01-30
200573,-1,2,2,2016-01-30
200574,26-35ÀÍ,0,5,2010-08-11
200575,26-35ÀÍ,0,5,2013-04-13
200576,26-35ÀÍ,0,5,2013-04-13
200577,16-25ÀÍ,2,3,2016-01-30
200578,36-45ÀÍ,1,3,2016-01-30
200579,-1,2,2,2016-01-30
200580,36-45ÀÍ,1,2,2016-01-30
200581,36-45ÀÍ,2,2,2016-01-30
200582,36-45ÀÍ,2,2,2016-01-30
200583,36-45ÀÍ,2,3,2016-01-30
200584,36-45ÀÍ,0,3,2016-01-30
200585,26-35ÀÍ,0,5,2013-04-13
200586,36-45ÀÍ,0,5,2010-08-11
200587,36-45ÀÍ,2,4,2016-01-30
200588,36-45ÀÍ,2,4,2013-04-13
200589,26-35ÀÍ,1,4,2013-04-13
200590,36-45ÀÍ,2,4,2013-04-13
200591,26-35ÀÍ,0,4,2010-08-11
200592,36-45ÀÍ,2,4,2016-01-30
200593,36-45ÀÍ,2,2,2016-01-30
200594,46-55ÀÍ,2,2,2016-02-01
200595,16-25ÀÍ,1,3,2016-01-30
200596,36-45ÀÍ,2,3,2016-01-30
200597,16-25ÀÍ,2,3,2016-01-30
200598,26-35ÀÍ,0,2,2016-01-30
200599,-1,2,4,2016-01-30
200600,36-45ÀÍ,2,5,2013-04-13
200601,36-45ÀÍ,2,2,2016-01-30
200602,-1,2,1,2016-01-30
200603,36-45ÀÍ,0,3,2016-01-30
200604,-1,2,2,2016-01-30
200605,-1,2,1,2016-01-30
200606,36-45ÀÍ,2,2,2016-01-30
200607,26-35ÀÍ,2,5,2013-04-13
200608,-1,2,5,2016-01-31
200609,36-45ÀÍ,2,2,2016-01-30
200610,26-35ÀÍ,2,4,2013-04-13
